Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
321,30.9749,13.2833,0.9034,13.5054,334,321,1,20.2166,0.9611,0.6903,70.578,wheat
,,,,,,,,,,,,
686,48.194,18.2133,0.9258,5.0996,709,686,1,29.5541,0.9676,0.7368,108.19,peas
,,,,,,,,,,,,
653,47.5273,17.6216,0.9287,1.171,669,653,1,28.8344,0.9761,0.8173,104.675,peas
,,,,,,,,,,,,
521,66.6154,10.1993,0.9882,4.8639,567,521,1,25.7557,0.9189,0.6766,142.676,barley
,,,,,,,,,,,,
1912,141.1082,18.5687,0.9913,5.8697,2111,1961,-2,49.34,0.9057,0.5707,288.346,sunflowerSeeds
,,,,,,,,,,,,
229,38.924,7.6816,0.9803,-3.0313,257,229,1,17.0755,0.8911,0.6877,77.962,wheat
,,,,,,,,,,,,
524,42.1252,16.1838,0.9233,12.2413,576,524,1,25.8298,0.9097,0.6727,104.866,peas
,,,,,,,,,,,,
411,57.3213,9.6514,0.9857,0.8556,474,423,-4,22.8758,0.8671,0.6672,120.793,barley
,,,,,,,,,,,,
699,51.6169,17.3096,0.9421,-1.1933,718,699,1,29.8328,0.9735,0.8062,111.498,peas
,,,,,,,,,,,,
325,25.6156,17.0283,0.7471,-15.451,353,332,-5,20.3421,0.9207,0.6842,73.15,barley
,,,,,,,,,,,,
293,24.5657,15.3144,0.7819,-14.1305,306,293,1,19.3147,0.9575,0.763,62.44,wheat
,,,,,,,,,,,,
1900,130.8247,19.7967,0.9885,10.694,2223,1940,-9,49.1849,0.8547,0.4498,281.887,sunflowerSeeds
,,,,,,,,,,,,
115,16.2032,10.4514,0.7642,-31.4971,143,115,1,12.1005,0.8042,0.5204,46.462,barley
,,,,,,,,,,,,
295,22.2767,16.9507,0.6488,25.2846,300,295,1,19.3805,0.9833,0.7804,59.074,wheat
,,,,,,,,,,,,
1648,145.6476,14.7906,0.9948,-17.7398,1793,1648,1,45.8072,0.9191,0.2694,283.98,sunflowerSeeds
,,,,,,,,,,,,
807,53.3836,19.3017,0.9323,0.1394,838,807,1,32.0547,0.963,0.7472,118.66,peas
,,,,,,,,,,,,
2553,82.7464,39.4875,0.8788,20.2357,2636,2553,1,57.0139,0.9685,0.6819,208.84,sunflowerSeeds
,,,,,,,,,,,,
624,51.7089,15.4169,0.9545,2.5457,661,624,1,28.1869,0.944,0.7197,110.952,peas
,,,,,,,,,,,,
652,51.0015,16.3808,0.947,-0.3044,684,652,1,28.8124,0.9532,0.7671,109.637,peas
,,,,,,,,,,,,
405,42.7524,12.3699,0.9572,-15.0127,437,407,0,22.7082,0.9268,0.5625,90.434,barley
,,,,,,,,,,,,
4086,223.2218,30.1037,0.9909,-0.0922,5174,4087,0,72.1281,0.7897,0.5279,472.39,sunflowerSeeds
,,,,,,,,,,,,
263,40.3153,8.7459,0.9762,-6.1848,307,263,1,18.2992,0.8567,0.5977,86.497,wheat
,,,,,,,,,,,,
352,27.5245,16.4674,0.8013,13.1626,366,352,1,21.1703,0.9617,0.7395,69.842,wheat
,,,,,,,,,,,,
332,52.1682,8.2118,0.9875,-3.8338,360,332,1,20.56,0.9222,0.7094,105.262,wheat
,,,,,,,,,,,,
794,53.162,19.1448,0.9329,1.8167,809,794,1,31.7955,0.9815,0.8649,115.401,peas
,,,,,,,,,,,,
2298,173.321,17.2786,0.995,-1.8231,2439,2298,1,54.0916,0.9422,0.7157,345.872,sunflowerSeeds
,,,,,,,,,,,,
977,61.6954,21.6412,0.9365,-45.3159,1085,977,1,35.2697,0.9005,0.4619,136.691,sunflowerSeeds
,,,,,,,,,,,,
330,47.6367,8.9684,0.9821,5.744,352,330,1,20.498,0.9375,0.7021,96.206,wheat
,,,,,,,,,,,,
640,46.117,17.7292,0.9231,1.1851,663,640,1,28.546,0.9653,0.7901,102.434,peas
,,,,,,,,,,,,
366,39.2749,12.1142,0.9512,18.1438,392,368,-1,21.5872,0.9337,0.5819,85.737,barley
,,,,,,,,,,,,
2146,78.9029,36.5955,0.8859,-26.3069,2311,2251,-23,52.2721,0.9286,0.6088,193.101,sunflowerSeeds
,,,,,,,,,,,,
